ID,用户问题,期望答案要点,期望来源文档ID,期望证据文本,是否应拒答,评测重点,备注
Q001,创业担保贷款个人最高可以贷多少钱？,个人创业担保贷款额度不超过30万元。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第五条 个人创业担保贷款额度不超过30万元，贷款期限不超过3年。,否,政策解释类,
Q002,哪些人可以申请个人创业担保贷款？,包括城镇登记失业人员、就业困难人员（含残疾人）、退役军人、刑满释放人员、高校毕业生等10类，且本人及配偶无其他贷款（除外）。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第三条 （一）属于重点就业群体。法定劳动年龄内……城镇登记失业人员、就业困难人员（含残疾人）、退役军人、刑满释放人员、高校毕业生（含大学生村官和留学回国学生）、化解过剩产能企业职工和失业人员、返乡创业农民工、网络商户、脱贫人口、农村自主创业农民；（二）除助学贷款、脱贫人口小额信贷、住房贷款、购车贷款、5万元以下小额消费贷款（含信用卡消费）以外，申请人提交创业担保贷款申请时，本人及其配偶无其他贷款。,否,政策解释类,
Q003,创业担保贷款利率上限如何规定？,58个脱贫县区上限为LPR+250BPs，其他地区上限为LPR+150BPs。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第七条 创业担保贷款利率由借款人、经办银行、担保机构协商确定，58个脱贫县区（附件1）贷款利率上限为LPR+250BPs，其他地区贷款利率上限为LPR+150BPs，LPR为1年期贷款市场报价利率。,否,政策解释类,
Q004,创业担保贷款财政贴息比例是多少？,财政部门给予贷款实际利率50%的财政贴息。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第十七条 对符合条件的创业担保贷款，财政部门给予贷款实际利率50%的财政贴息，其余部分由个人或小微企业承担。,否,政策解释类,
Q005,小微企业申请创业担保贷款需满足什么条件？,属于小微企业；申请前1年内新招用符合条件人员达到职工人数10%（超100人企业5%），签订1年以上合同；无拖欠工资社保记录。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第四条 （一）属于现行中小企业划型标准规定的小型、微型企业；（二）小微企业在申请创业担保贷款前1年内新招用符合创业担保贷款申请条件的人数达到企业现有在职职工人数10%（超过100人的企业达到5%），并与其签订1年以上劳动合同；（三）无拖欠职工工资、欠缴社会保险费等违法违规信用记录。,否,政策解释类,
Q006,创业担保贷款可以申请几次？,对还款积极、带动就业能力强的，可继续申请，累计次数不超过3次。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第七条 ……对还款积极、带动就业能力强、创业项目好的借款个人或小微企业，创业担保贷款到期后可继续申请贷款及贴息支持，累计次数不超过3次。,否,政策解释类,
Q007,个人如何线上办理就业登记？,登录甘肃人社公共服务平台（wsbs.rst.gansu.gov.cn），搜索“就业登记”在线办理，3个工作日内办结。,evaldoc::8a4cc2869cc5::就业登记失业登记业务办理简单说明,一、线上就业登记：1.已实现就业的劳动者可以注册登录甘肃人社公共服务平台（网址：wsbs.rst.gansu.gov.cn）搜索‘就业登记’事项，点击‘在线办理’，进行在线申请；2.……就业登记在3个工作日内办结。,否,办理流程类,
Q008,线下办理就业登记需要哪些材料？,填写《就业人员登记表》、申请人身份证复印件、2寸免冠证件照。,evaldoc::8a4cc2869cc5::就业登记失业登记业务办理简单说明,线下就业登记：办理要件：(1)填写《就业人员登记表》；(2)申请人身份证复印件；(3) 2寸免冠证件照。,否,办理流程类,
Q009,如何线上办理失业登记？,登录全国人社政务服务平台（12333.gov.cn、掌上12333）或甘肃人社公共服务平台，搜索“失业登记”在线办理，5个工作日内办结。,evaldoc::8a4cc2869cc5::就业登记失业登记业务办理简单说明,一、线上失业登记：1.申请人注册登录全国人力资源社会保障政务服务平台( PC 端网站http://12333.gov.cn，手机 APP ‘掌上12333’客户端，微信小程序‘12333’）或甘肃人社公共服务平台（网址：https://wsbs.rst.gansu.gov.cn）搜索‘失业登记’事项﹣点击‘在线办理’，进行在线申请；2.……失业登记须5个工作日内办结。,否,办理流程类,
Q010,线下办理失业登记需要带什么材料？,填写《失业人员登记表》《失业人员承诺书》，身份证复印件，2寸照；随军家属还需《军官证》和《结婚证》复印件。,evaldoc::8a4cc2869cc5::就业登记失业登记业务办理简单说明,线下失业登记：2.办理要件:（1）申请人填写《失业人员登记表》《失业人员承诺书》；（2）申请人身份证复印件；（3）随军家属申请办理失业登记需提交《军官证》和《结婚证》复印件；（4）2寸免冠证件照。,否,办理流程类,
Q011,个人创业担保贷款的申请程序是什么？,向社区或乡镇提交材料 → 人社部门审核资格 → 担保机构和经办银行调查审核 → 签订合同放款。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第十条 （一）借款人向创业项目所在地社区或乡镇承办单位（基层劳动保障事务所）提交申请材料。（二）人力资源社会保障部门按规定对借款人资格进行审核，对符合条件的向市级或县级担保机构推荐。（三）……担保机构配合经办银行……调查、审核。对符合担保、贷款条件的，经办银行分别与担保机构和借款人签订担保合同和贷款合同，并按合同约定向借款人发放贷款。,否,办理流程类,
Q012,创业担保贷款各环节的办理时限是多久？,人社资格审核7个工作日内，担保尽职调查3个工作日内，银行放贷5个工作日内。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第十二条 人力资源社会保障部门资格审核原则上在7个工作日内，担保机构尽职调查原则上在3个工作日内完成，金融机构贷款受理至发放原则上在5个工作日内完成，确需办理反担保、抵押等手续的可适当延长。,否,办理流程类,
Q013,城关区个人就业登记的办理地点在哪里？,甘肃省兰州市城关区飞雁街118号陇星新能源大厦E座兰州人力资源谷2层城关园区政务服务大厅就业服务窗口。,evaldoc::4383d5375a40::个人就业登记,办理地点：甘肃省-兰州市-城关区飞雁街118号-陇星新能源大厦E座兰州人力资源谷2层陇星大厦城关园区政务服务大厅就业服务窗口。,否,精确信息类,
Q014,城关区个人创业担保贷款的咨询电话是多少？,0931-8480213 和 8486836。,evaldoc::b33e6d6cb449::个人创业担保贷款申请,咨询方式电话：0931-8480213 8486836,否,精确信息类,
Q015,城关区个人就业登记的办理时间是什么？,工作日上午9:00-12:00，下午1:00-5:00。,evaldoc::4383d5375a40::个人就业登记,办理时间：工作日上午9:00-12:00，下午1:00-5:00,否,精确信息类,
Q016,城关区就业服务中心的地址和电话是什么？,地址：城关区陇西路48号；电话：0931-8429525 / 0931-8438549。,evaldoc::6a3f89c886ea::甘肃省兰州市就业失业业务办理窗口地址及联系方式,城关区就业服务中心：城关区陇西路48号，0931-8429525 / 0931-8438549,否,精确信息类,
Q017,七里河区就业失业登记窗口的电话是多少？,0931-2662305。,evaldoc::6a3f89c886ea::甘肃省兰州市就业失业业务办理窗口地址及联系方式,七里河区……电话0931-2662305,否,精确信息类,
Q018,兰州西固区有哪些销售类岗位在招人？,岗位：业务员；单位：兰州彩宁商贸有限公司；地点：甘肃省兰州市西固区；薪资：4000-5000元；类别：销售代表；人数：10；经验：不限；学历：大学专科。,J,"从JSON中提取：{""title"":""业务员"",""address"":""甘肃省兰州市西固区"",""company"":""兰州彩宁商贸有限公司"",""salary"":""4000-5000元"",""category"":""销售代表"",""headcount"":""10"",""experience"":""不限"",""education"":""大学专科""}",否,岗位匹配类,
