

## 一、兰州市各区县就业失业业务办理窗口信息汇总

| 区划 | 办理地址 | 咨询电话 | 办理时间 |
|------|---------|---------|---------|
| **市本级（兰州市就业和人才服务局）** | 兰州市城关区飞雁街118号E座6楼606室 | 0931-8861720 | — |
| **城关区** | 甘肃省兰州市城关区飞雁街118号陇星新能源大厦E座兰州人力资源谷2层城关园区政务服务大厅就业服务窗口 | 0931-8461142 | 工作日上午9:00–12:00，下午1:00–5:00 |
| **城关区就业服务中心** | 城关区陇西路48号 | 0931-8429525 / 0931-8438549 | — |
| **七里河区** | 甘肃省兰州市七里河区小西湖西街55号七里河区人力资源市场分中心综合窗口 | 0931-2662305 | 工作日上午9:00–12:00，下午1:00–5:00 |
| **七里河区就业服务局** | 七里河区西津东路498号 | 0931-2839650 | — |
| **西固区** | 西固区玉门街321号 | 0931-7555903 | — |
| **安宁区** | 甘肃省兰州市安宁区众邦大道安宁堡家园4号商铺一楼就业创业证窗口 | 0931-2157102 | 工作日上午9:00–12:00，下午1:00–5:00 |
| **红古区** | 甘肃省兰州市红古区平安路890号就业和社会保障大厅就业受理区14号/15号窗口 | 0931-6222710 | 工作日上午8:30–12:00，下午2:30–6:00 |
| **永登县（兰州新区）** | 兰州新区瑞辰·金蘭府西南角5号楼5楼瑞利社区便民服务站3号窗口 | 0931-6800699 | 周一上午9:00–12:00、下午2:30–6:00；周二至周四8:30–12:00、14:30–18:00；周五8:30–12:00、14:30–17:00 |
| **榆中县** | 甘肃省兰州市榆中县城关镇环城西路100-21-2陇翔苑10号楼4楼就业创业证办理窗口 | 0931-5224907 | 工作日上午8:30–12:00，下午2:30–6:00 |
| **皋兰县** | 甘肃省兰州市皋兰县石洞镇梨花路639号皋兰人社服务大厅一楼就业失业登记窗口 | 0931-5723038 | 工作日上午8:30–12:00，下午2:30–6:00 |
| **兰州新区中川园区** | 兰州新区彩虹城b区25号公寓楼东北角一楼114办公室 | 0931-8252176 | — |
| **兰州新区秦川园区** | 兰州新区战略性新兴产业孵化基地秦川园区管理委员会603办公室 | 0931-8256701 | — |
| **兰州新区西岔园区** | 兰州新区文曲湖社区服务中心一楼 | 0931-8258851 | — |
