ID,问题类型,用户问题,期望答案要点,期望来源/文档,期望source_id或chunk_id,是否应拒答,评测重点,备注
Q001,政策解释类,哪些人需要办理就业登记？,"法定劳动年龄内与用人单位建立劳动关系的劳动者、从事个体经营或灵活就业的人员需要办理就业登记；用人单位新招用或续订劳动合同也涉及就业登记。",就业登记业务办理条件.txt,kb::就业登记业务办理条件.txt;chunk_e76aaedc8a9745589177659aff7dc17c;chunk_1ea390c0075a479b8f31416d0a72cfe7,否,top3是否召回正确政策条款,
Q002,政策解释类,就业登记应在什么时间内办理？,"用人单位新招用人员或与劳动者续订劳动合同的，劳动者从事个体经营或灵活就业的，应于录用或就业之日起30日内办理就业登记。",就业登记业务办理条件.txt,kb::就业登记业务办理条件.txt;chunk_1ea390c0075a479b8f31416d0a72cfe7;chunk_393b2c5d045941bda93740dd0a6d42d2,否,是否能解释适用对象,
Q003,政策解释类,从事个体经营或灵活就业办理就业登记需要哪些材料？,"应填写《就业人员登记表》并作出真实性承诺，提供身份证原件；从事个体经营的劳动者及其雇工还需提供本人或雇主营业执照原件。",就业登记业务办理条件.txt,kb::就业登记业务办理条件.txt;chunk_393b2c5d045941bda93740dd0a6d42d2;chunk_b696ed3955fe4661a7df3233e7b9e07a,否,是否能说明补贴条件,原评测点写“补贴条件”，现题目改为材料条件，更贴合现有知识库
Q004,政策解释类,线上申请就业登记多久可以办结？,"县级公共就业服务机构工作人员审核线上就业登记申请，就业登记在3个工作日内办结。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_ece8752795f842ce872235364c47c49c;chunk_ed4ba6b98c5b40c49c71c70c02331a3c,否,是否能说明补贴期限,原评测点写“补贴期限”，现题目改为办理时限，更贴合现有知识库
Q005,政策解释类,就业登记和失业登记的办理时限有什么区别？,"就业登记一般3个工作日内办结；失业登记须5个工作日内办结。回答应区分两个事项，不混为一谈。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_ece8752795f842ce872235364c47c49c;chunk_cc1919646cf14b3ea9662fe429d3e8cb,否,是否能区分不同政策,
Q006,政策解释类,刚找到工作了，要不要办就业登记？,"需要。劳动者被用人单位招用的，由用人单位或个人到就业地公共就业服务机构备案并办理就业登记；从事个体经营或灵活就业的，应在实现就业后30日内由本人办理。",就业失业管理热点问题回答.txt,kb::就业失业管理热点问题回答.txt;chunk_9143c4f53db0499ab26d3dd6972d4028;chunk_1ea390c0075a479b8f31416d0a72cfe7,否,是否能回答口语化政策问题,
Q007,办理流程类,哪些人可以办理失业登记？,"法定劳动年龄内，有劳动能力、有就业要求、处于无业状态的城乡失业人员，可以申请失业登记。",就业失业管理热点问题回答.txt,kb::就业失业管理热点问题回答.txt;chunk_2407ad3b852d437aa80c35b81064a977;chunk_8db04d48dae54a3f9e62d6bb0278da42,否,是否召回办理流程,
Q008,办理流程类,失业登记需要提交哪些材料？,"线下办理需填写《失业人员登记表》《失业人员承诺书》，提供申请人身份证复印件；随军家属还需军官证和结婚证复印件；另需2寸免冠证件照。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_d87fef6b0e924860a74361d36b17172f;chunk_5fe73ca4a3dd4c24a2367f056108c331,否,是否回答材料清单,
Q009,办理流程类,失业登记可以通过哪些渠道办理？,"可线上或线下办理。线上可通过全国人力资源社会保障政务服务平台、掌上12333、微信小程序12333、甘肃人社公共服务平台等办理；线下可在县级公共就业服务机构或所在社区办理。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_689683f2c8914d8f92607dba62ecd509;chunk_5dbc64c9d1e74e5f94de8091884d26cb;chunk_b08f0506531144f9b1909e3fdb7da39a,否,是否回答办理入口,
Q010,办理流程类,失业登记多久可以办结？,"县级公共就业服务机构审核失业登记申请，失业登记须5个工作日内办结。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_cc1919646cf14b3ea9662fe429d3e8cb,否,是否回答办理时限,
Q011,办理流程类,线下办理失业登记去哪里办？,"可在县级公共就业服务机构或所在社区申请办理失业登记。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_b08f0506531144f9b1909e3fdb7da39a,否,是否回答办理地点,
Q012,办理流程类,失业证咋办？,"应识别为办理失业登记或申领《就业创业证》问题：先按线上或线下渠道办理失业登记，登记通过后可免费申领《就业创业证》。",就业失业管理热点问题回答.txt,kb::就业失业管理热点问题回答.txt;chunk_d632554c1fed47d6af5f019ce62ab3e0;chunk_689683f2c8914d8f92607dba62ecd509,否,是否能按步骤组织答案,
Q013,精确信息类,12333是干什么的？,"当前知识库可证明12333.gov.cn、掌上12333客户端、微信小程序12333是失业登记线上办理入口；若回答“人社服务热线/咨询电话”，应提示当前资料证据不足。",就业登记失业登记业务办理简单说明.txt,kb::就业登记失业登记业务办理简单说明.txt;chunk_409d26b942c7499388f5105f083754f3;chunk_5dbc64c9d1e74e5f94de8091884d26cb,否,关键词或BM25是否优于纯向量,缺12333热线定义类政策依据
